k,rep,call_idx,call_time_ms
5,27,3,1212.199457
5,27,4,1212.773638
5,27,5,1216.560058
5,28,1,1215.959262
5,28,2,1207.178225
5,28,3,1207.385818
5,28,4,1213.458711
5,28,5,1212.243773
5,29,1,1215.532355
5,29,2,1215.514821
5,29,3,1222.048815
5,29,4,1221.639530
5,29,5,1206.520160
5,30,1,1217.175444
5,30,2,1214.584721
5,30,3,1215.779109
5,30,4,1217.440589
5,30,5,1218.273300
5,31,1,1219.687722
5,31,2,1216.088855
5,31,3,1205.425540
5,31,4,1211.372692
5,31,5,1216.059326
5,32,1,1217.179982
5,32,2,1232.633527
5,32,3,1218.905622
5,32,4,1228.157017
5,32,5,1217.312293
5,33,1,1210.353669
5,33,2,1221.309678
5,33,3,1214.818405
5,33,4,1219.496290
5,33,5,1226.340546
5,34,1,1203.639973
5,34,2,1205.071596
5,34,3,1202.786442
5,34,4,1221.701287
5,34,5,1213.461487
5,35,1,1203.596998
5,35,2,1222.617656
5,35,3,1232.182326
5,35,4,1205.273652
5,35,5,1223.253343
5,36,1,1221.437891
5,36,2,1222.624866
5,36,3,1210.073349
5,36,4,1214.292064
5,36,5,1220.331235
5,37,1,1219.067891
5,37,2,1207.667734
5,37,3,1206.803713
5,37,4,1202.868530
5,37,5,1222.085272
5,38,1,1218.989021
5,38,2,1207.526786
5,38,3,1203.163598
5,38,4,1214.188915
5,38,5,1211.750454
5,39,1,1218.094894
5,39,2,1212.417939
5,39,3,1209.750338
5,39,4,1203.525450
5,39,5,1207.692208
5,40,1,1223.635341
5,40,2,1210.687358
5,40,3,1208.291632
5,40,4,1216.437500
5,40,5,1212.285648
5,41,1,1212.084892
5,41,2,1213.139078
5,41,3,1202.165998
5,41,4,1216.994284
5,41,5,1218.478269
5,42,1,1212.340810
5,42,2,1203.528576
5,42,3,1206.971984
5,42,4,1218.579264
5,42,5,1219.723301
5,43,1,1207.987968
5,43,2,1215.031950
5,43,3,1206.085195
5,43,4,1209.092979
5,43,5,1208.442874
5,44,1,1219.058258
5,44,2,1203.276969
5,44,3,1208.192977
5,44,4,1207.877655
5,44,5,1221.341402
5,45,1,1217.324742
5,45,2,1209.290336
5,45,3,1212.908391
5,45,4,1209.470730
5,45,5,1222.246925
5,46,1,1209.389001
5,46,2,1213.123323
5,46,3,1220.280894
5,46,4,1206.144934
5,46,5,1211.459071
5,47,1,1218.268801
5,47,2,1222.051047
5,47,3,1208.756012
5,47,4,1216.393877
5,47,5,1223.360133
5,48,1,1224.561862
5,48,2,1200.436739
5,48,3,1211.704395
5,48,4,1216.906441
5,48,5,1225.358177
5,49,1,1204.220002
5,49,2,1207.304273
5,49,3,1211.485342
5,49,4,1227.174563
5,49,5,1231.354423
5,50,1,1208.172944
5,50,2,1211.515790
5,50,3,1222.361820
5,50,4,1225.174905
5,50,5,1215.971352
10,1,1,1210.923893
10,1,2,1225.886508
10,1,3,1225.473130
10,1,4,1226.855195
10,1,5,1209.690074
10,1,6,1210.154724
10,1,7,1222.793360
10,1,8,1206.862429
10,1,9,1215.199813
10,1,10,1215.087431
10,2,1,1216.640912
10,2,2,1208.075645
10,2,3,1219.792064
10,2,4,1209.967051
10,2,5,1215.440311
10,2,6,1215.546063
10,2,7,1207.646700
10,2,8,1209.582539
10,2,9,1225.736639
10,2,10,1218.779805
10,3,1,1219.914965
10,3,2,1210.140128
10,3,3,1222.889717
10,3,4,1206.115994
10,3,5,1221.207203
10,3,6,1207.228095
10,3,7,1209.794904
10,3,8,1212.861608
10,3,9,1214.964891
10,3,10,1220.875798
10,4,1,1212.476546
10,4,2,1230.025030
10,4,3,1222.240073
10,4,4,1221.082464
10,4,5,1208.973383
10,4,6,1224.885819
10,4,7,1208.726757
10,4,8,1224.959772
10,4,9,1224.036547
10,4,10,1224.994472
10,5,1,1208.176474
10,5,2,1232.731473
10,5,3,1221.731186
10,5,4,1215.766110
10,5,5,1221.729277
10,5,6,1206.132687
10,5,7,1222.183640
10,5,8,1211.895569
10,5,9,1228.298669
10,5,10,1215.651368
10,6,1,1221.035759
10,6,2,1221.378595
10,6,3,1209.514366
10,6,4,1207.619991
10,6,5,1204.336145
10,6,6,1215.333152
10,6,7,1213.702711
10,6,8,1217.283311
10,6,9,1203.715186
10,6,10,1224.337214
10,7,1,1222.032459
10,7,2,1219.294859
10,7,3,1214.578158
10,7,4,1214.460808
10,7,5,1218.131143
10,7,6,1207.533700
10,7,7,1218.011803
10,7,8,1223.858415
10,7,9,1222.335185
10,7,10,1216.105238
10,8,1,1217.529813
10,8,2,1229.887147
10,8,3,1216.342892
10,8,4,1220.046876
10,8,5,1211.926693
10,8,6,1218.477967
10,8,7,1220.735989
10,8,8,1217.913227
10,8,9,1217.022245
10,8,10,1224.876037
10,9,1,1216.185722
10,9,2,1228.254163
10,9,3,1211.517082
10,9,4,1222.693109
10,9,5,1224.710390
10,9,6,1220.383369
10,9,7,1217.525082
10,9,8,1216.951228
10,9,9,1213.010868
10,9,10,1212.938686
10,10,1,1208.291825
10,10,2,1226.011722
10,10,3,1217.205319
10,10,4,1216.704704
10,10,5,1216.618532
10,10,6,1215.990505
10,10,7,1221.399112
10,10,8,1215.293083
10,10,9,1209.752173
10,10,10,1219.449545
10,11,1,1207.295498
10,11,2,1219.828354
10,11,3,1220.934882
10,11,4,1226.086716
10,11,5,1219.881557
10,11,6,1216.914410
10,11,7,1218.745733
10,11,8,1223.228050
10,11,9,1218.183675
10,11,10,1233.301745
10,12,1,1213.952997
10,12,2,1211.925148
10,12,3,1219.892745
10,12,4,1221.237862
10,12,5,1223.772447
10,12,6,1217.210795
10,12,7,1224.964088
10,12,8,1213.443126
10,12,9,1221.466879
10,12,10,1236.649014
10,13,1,1206.673468
10,13,2,1213.433338
10,13,3,1226.975741
10,13,4,1227.355118
10,13,5,1217.426401
10,13,6,1213.096013
10,13,7,1220.742925
10,13,8,1215.360584
10,13,9,1217.772343
10,13,10,1215.358862
10,14,1,1211.946437
10,14,2,1224.984954
10,14,3,1213.928482
10,14,4,1217.396260
10,14,5,1205.482198
10,14,6,1228.642513
10,14,7,1216.923096
10,14,8,1213.110927
